"rodada","mandante","gols.mandante","gols.visitante","visitante","estadio","data","hora"
16,"Flamengo - RJ","1","1","Red Bull Bragantino - SP","Maracanã - RJ","15/10/2020","20:00"
16,"Goiás - GO","1","1","Bahia - BA","Hailé Pinheiro - GO","16/10/2020","20:00"
16,"Vasco da Gama - RJ","0","0","Fortaleza - CE","São Januário - RJ","19/11/2020","19:00"
16,"Ceará - CE","1","1","São Paulo - SP","Arena Castelão - CE","25/11/2020","19:15"
17,"Atlético - GO","1","1","Athletico Paranaense - PR","Olímpico Pedro Ludovico - GO","17/10/2020","19:00"
17,"Fluminense - RJ","2","2","Ceará - CE","Maracanã - RJ","17/10/2020","19:00"
17,"Coritiba - PR","1","2","Santos - SP","Couto Pereira - PR","17/10/2020","19:00"
17,"São Paulo - SP","0","0","Grêmio - RS","Morumbi - SP","17/10/2020","21:00"
17,"Corinthians - SP","1","5","Flamengo - RJ","Neo Química Arena - SP","18/10/2020","16:00"
17,"Internacional - RS","2","0","Vasco da Gama - RJ","Beira-Rio - RS","18/10/2020","18:15"
17,"Red Bull Bragantino - SP","2","0","Sport - PE","Nabi Abi Chedid - SP","18/10/2020","20:30"
17,"Fortaleza - CE","2","0","Palmeiras - SP","Arena Castelão - CE","18/10/2020","20:30"
17,"Bahia - BA","3","1","Atlético - MG","Pituaçu - BA","19/10/2020","20:00"
17,"Botafogo - RJ","0","0","Goiás - GO","Nilton Santos - RJ","19/10/2020","20:00"
18,"Vasco da Gama - RJ","1","2","Corinthians - SP","São Januário - RJ","21/10/2020","21:30"
18,"Red Bull Bragantino - SP","2","0","Goiás - GO","Nabi Abi Chedid - SP","24/10/2020","17:00"
18,"Ceará - CE","2","1","Coritiba - PR","Arena Castelão - CE","24/10/2020","19:00"
18,"Atlético - MG","0","0","Sport - PE","Mineirão - MG","24/10/2020","21:00"
18,"Atlético - GO","0","3","Palmeiras - SP","Olímpico Pedro Ludovico - GO","25/10/2020","16:00"
18,"Fluminense - RJ","3","1","Santos - SP","Maracanã - RJ","25/10/2020","16:00"
18,"Athletico Paranaense - PR","1","2","Grêmio - RS","Arena da Baixada - PR","25/10/2020","18:15"
18,"Internacional - RS","2","2","Flamengo - RJ","Beira-Rio - RS","25/10/2020","18:15"
18,"Bahia - BA","2","1","Fortaleza - CE","Arena Fonte Nova - BA","11/11/2020","18:45"
18,"São Paulo - SP","4","0","Botafogo - RJ","Morumbi - SP","09/12/2020","21:30"
19,"Botafogo - RJ","2","2","Ceará - CE","Nilton Santos - RJ","31/10/2020","17:00"
19,"Corinthians - SP","1","0","Internacional - RS","Neo Química Arena - SP","31/10/2020","19:00"
19,"Coritiba - PR","1","0","Atlético - GO","Couto Pereira - PR","31/10/2020","19:00"
19,"Fortaleza - CE","0","1","Fluminense - RJ","Arena Castelão - CE","31/10/2020","21:00"
19,"Sport - PE","1","0","Athletico Paranaense - PR","Ilha do Retiro - PE","01/11/2020","16:00"
19,"Flamengo - RJ","1","4","São Paulo - SP","Maracanã - RJ","01/11/2020","16:00"
19,"Santos - SP","3","1","Bahia - BA","Vila Belmiro - SP","01/11/2020","18:15"
19,"Goiás - GO","1","1","Vasco da Gama - RJ","Hailé Pinheiro - GO","01/11/2020","20:30"
19,"Palmeiras - SP","3","0","Atlético - MG","Allianz Parque - SP","02/11/2020","17:00"
19,"Grêmio - RS","2","1","Red Bull Bragantino - SP","Arena do Grêmio - RS","02/11/2020","20:00"
20,"Athletico Paranaense - PR","2","1","Fortaleza - CE","Arena da Baixada - PR","07/11/2020","18:00"
20,"São Paulo - SP","2","1","Goiás - GO","Morumbi - SP","07/11/2020","19:00"
20,"Atlético - GO","1","1","Corinthians - SP","Olímpico Pedro Ludovico - GO","07/11/2020","21:00"
20,"Internacional - RS","2","2","Coritiba - PR","Beira-Rio - RS","08/11/2020","16:00"
20,"Vasco da Gama - RJ","0","1","Palmeiras - SP","São Januário - RJ","08/11/2020","16:00"
20,"Red Bull Bragantino - SP","1","1","Santos - SP","Nabi Abi Chedid - SP","08/11/2020","18:15"
20,"Atlético - MG","4","0","Flamengo - RJ","Mineirão - MG","08/11/2020","18:15"
20,"Bahia - BA","1","0","Botafogo - RJ","Arena Fonte Nova - BA","08/11/2020","18:15"
20,"Ceará - CE","0","0","Sport - PE","Arena Castelão - CE","08/11/2020","20:30"
20,"Fluminense - RJ","0","1","Grêmio - RS","Maracanã - RJ","08/11/2020","20:30"
21,"Sport - PE","0","2","Vasco da Gama - RJ","Ilha do Retiro - PE","14/11/2020","16:30"
21,"Santos - SP","2","0","Internacional - RS","Vila Belmiro - SP","14/11/2020","16:30"
21,"Goiás - GO","0","1","Athletico Paranaense - PR","Hailé Pinheiro - GO","14/11/2020","17:00"
21,"Grêmio - RS","4","2","Ceará - CE","Arena do Grêmio - RS","14/11/2020","19:00"
21,"Fortaleza - CE","2","3","São Paulo - SP","Arena Castelão - CE","14/11/2020","19:00"
21,"Corinthians - SP","1","2","Atlético - MG","Neo Química Arena - SP","14/11/2020","19:00"
